USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          93  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/14]
root          94  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/14]
root          95  0.0  0.0      0     0 ?        S    May09   0:16  \_ [migration/14]
root          96  0.0  0.0      0     0 ?        S    May09   1:04  \_ [ksoftirqd/14]
root          98  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/14:0H-events_highpri]
root          99  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/15]
root         100  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/15]
root         101  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/15]
root         102  0.0  0.0      0     0 ?        S    May09   1:12  \_ [ksoftirqd/15]
root         104  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/15:0H-kblockd]
root         105  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/16]
root         106  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/16]
root         107  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/16]
root         108  0.0  0.0      0     0 ?        S    May09   0:48  \_ [ksoftirqd/16]
root         110  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/16:0H-kblockd]
root         111  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/17]
root         112  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/17]
root         113  0.0  0.0      0     0 ?        S    May09   0:13  \_ [migration/17]
root         114  0.0  0.0      0     0 ?        S    May09   0:56  \_ [ksoftirqd/17]
root         116  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/17:0H-kblockd]
root         117  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/18]
root         118  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/18]
root         119  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/18]
root         120  0.0  0.0      0     0 ?        S    May09   0:55  \_ [ksoftirqd/18]
root         122  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/18:0H-kblockd]
root         123  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/19]
root         124  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/19]
root         125  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/19]
root         126  0.0  0.0      0     0 ?        S    May09   0:51  \_ [ksoftirqd/19]
root         128  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/19:0H-events_highpri]
root         129  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/20]
root         130  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/20]
root         131  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/20]
root         132  0.0  0.0      0     0 ?        S    May09   0:48  \_ [ksoftirqd/20]
root         134  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/20:0H-kblockd]
root         135  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/21]
root         136  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/21]
root         137  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/21]
root         138  0.0  0.0      0     0 ?        S    May09   0:48  \_ [ksoftirqd/21]
root         140  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/21:0H-kblockd]
root         141  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/22]
root         142  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/22]
root         143  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/22]
root         144  0.0  0.0      0     0 ?        S    May09   0:48  \_ [ksoftirqd/22]
root         146  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/22:0H-kblockd]
root         147  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/23]
root         148  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/23]
root         149  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/23]
root         150  0.0  0.0      0     0 ?        S    May09   0:51  \_ [ksoftirqd/23]
root         152  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/23:0H-kblockd]
root         153  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/24]
root         154  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/24]
root         155  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/24]
root         156  0.0  0.0      0     0 ?        S    May09   0:49  \_ [ksoftirqd/24]
root         158  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/24:0H-kblockd]
root         159  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/25]
root         160  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/25]
root         161  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/25]
root         162  0.0  0.0      0     0 ?        S    May09   0:51  \_ [ksoftirqd/25]
root         164  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/25:0H-events_highpri]
root         165  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/26]
root         166  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/26]
root         167  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/26]
root         168  0.0  0.0      0     0 ?        S    May09   0:49  \_ [ksoftirqd/26]
root         170  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/26:0H-events_highpri]
root         171  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/27]
root         172  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/27]
root         173  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/27]
root         174  0.0  0.0      0     0 ?        S    May09   0:56  \_ [ksoftirqd/27]
root         176  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/27:0H-kblockd]
root         177  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/28]
root         178  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/28]
root         179  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/28]
root         180  0.0  0.0      0     0 ?        S    May09   0:55  \_ [ksoftirqd/28]
root         182  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/28:0H-kblockd]
root         183  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/29]
root         184  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/29]
root         185  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/29]
root         186  0.0  0.0      0     0 ?        S    May09   0:56  \_ [ksoftirqd/29]
root         188  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/29:0H-kblockd]
root         189  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/30]
root         190  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/30]
root         191  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/30]
root         192  0.0  0.0      0     0 ?        S    May09   0:52  \_ [ksoftirqd/30]
root         194  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/30:0H-kblockd]
root         195  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/31]
root         196  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/31]
root         197  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/31]
root         198  0.0  0.0      0     0 ?        S    May09   0:54  \_ [ksoftirqd/31]
root         200  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/31:0H-events_highpri]
root         201  0.0  0.0      0     0 ?        S    May09   0:00  \_ [kdevtmpfs]
root         202  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [netns]
root         203  0.0  0.0      0     0 ?        S    May09   0:00  \_ [rcu_tasks_kthre]
root         204  0.0  0.0      0     0 ?        S    May09   0:00  \_ [kauditd]
root         206  0.0  0.0      0     0 ?        S    May09   0:13  \_ [khungtaskd]
root         207  0.0  0.0      0     0 ?        S    May09   0:40  \_ [oom_reaper]
root         208  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [writeback]
root         209  0.0  0.0      0     0 ?        S    May09   0:00  \_ [kcompactd0]
root         210  0.0  0.0      0     0 ?        SN   May09   0:00  \_ [ksmd]
root         211  0.0  0.0      0     0 ?        SN   May09   0:17  \_ [khugepaged]
root         258  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kintegrityd]
root         259  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kblockd]
root         260  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [blkcg_punt_bio]
root         261  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [tpm_dev_wq]
root         262  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [ata_sff]
root         263  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [md]
root         264  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [edac-poller]
root         265  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [devfreq_wq]
root         266  0.0  0.0      0     0 ?        S    May09   0:00  \_ [watchdogd]
root         270  0.0  0.0      0     0 ?        S    May09  49:52  \_ [kswapd0]
root         271  0.0  0.0      0     0 ?        S    May09   0:00  \_ [ecryptfs-kthrea]
root         273  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kthrotld]
root         274  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [acpi_thermal_pm]
root         275  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [vfio-irqfd-clea]
root         276  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [ipv6_addrconf]
root         285  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kstrp]
root         289  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/u481:0]
root         307  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [charger_manager]
root         346  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [hv_vmbus_con]
root         347  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [hv_pri_chan]
root         348  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [hv_sub_chan]
root         350  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [cryptd]
root         391  0.0  0.0      0     0 ?        S    May09   0:00  \_ [scsi_eh_0]
root         392  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [scsi_tmf_0]
root         393  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [storvsc_error_w]
root         416  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kdmflush]
root         458  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [raid5wq]
root         502  0.0  0.0      0     0 ?        I<   May09   0:04  \_ [kworker/17:1H-kblockd]
root         505  0.0  0.0      0     0 ?        S    May09   3:02  \_ [jbd2/dm-0-8]
root         506  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [ext4-rsv-conver]
root         567  0.0  0.0      0     0 ?        I<   May09   0:03  \_ [kworker/23:1H-kblockd]
root         605  0.0  0.0      0     0 ?        I<   May09   0:05  \_ [kworker/21:1H-kblockd]
root         611  0.0  0.0   2488   444 ?        S    May09   0:00  \_ bpfilter_umh
root         620  0.0  0.0      0     0 ?        I<   May09   0:02  \_ [kworker/27:1H-kblockd]
root         624  0.0  0.0      0     0 ?        I<   May09   0:05  \_ [kworker/29:1H-kblockd]
root         625  0.0  0.0      0     0 ?        I<   May09   0:02  \_ [kworker/5:1H-kblockd]
root         689  0.0  0.0      0     0 ?        I<   May09   0:04  \_ [kworker/6:1H-kblockd]
root         704  0.0  0.0      0     0 ?        S    May09   2:03  \_ [hv_balloon]
